timestamp,bpm,beat_phase,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
227471.120076,120.0,0.1455,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000,lost,0.3508,0.0000,0.00,1041.11
227471.159401,120.0,0.2609,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000,lost,0.3508,0.0000,0.00,1041.11
227471.219915,120.0,0.3624,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000,lost,0.3508,0.0000,0.00,1041.11
227471.289063,120.0,0.4899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000,lost,0.3508,0.0000,0.00,1041.11
227471.353306,120.0,0.6579,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0000,lost,0.3508,0.0000,0.00,1041.11
227471.420112,120.0,0.7645,0.71172,0.84583,0.67969,0.79444,0.66406,0.72778,0.67031,0.66944,0.68437,0.63472,0.70625,0.64583,0.70469,0.58889,0.70000,0.57500,0.69766,0.57917,0.73594,0.64722,0.74687,0.58472,0.73828,0.59583,0.73125,0.62639,0.75938,0.66250,0.76953,0.59861,0.75938,0.60833,0.75078,0.63750,0.77891,0.69028,0.78672,0.63889,0.77891,0.63611,0.77187,0.65556,0.71172,0.84583,0.71172,0.84583,132.51,0.9244,live,0.3508,0.0000,0.00,1011.59
227471.491856,120.0,0.9285,0.75859,0.79167,0.69609,0.71806,0.66875,0.63472,0.65703,0.56528,0.65312,0.50694,0.69688,0.57639,0.68672,0.49722,0.68125,0.46111,0.67891,0.43333,0.72031,0.56944,0.70703,0.49306,0.70078,0.46111,0.70078,0.44444,0.74141,0.56528,0.73281,0.49722,0.72969,0.46389,0.72969,0.44444,0.76328,0.56667,0.75859,0.50417,0.75469,0.47917,0.75234,0.46389,0.72109,0.83500,0.75859,0.79167,147.18,0.9416,live,0.3508,0.0144,14.31,996.16
227471.560619,120.0,0.0322,0.70937,0.53889,0.67266,0.47083,0.65859,0.41111,0.65859,0.35694,0.66797,0.32083,0.68906,0.37361,0.68359,0.32222,0.67969,0.28611,0.67656,0.25278,0.70781,0.36667,0.70781,0.31389,0.70547,0.27500,0.70312,0.24167,0.72578,0.36806,0.72734,0.32083,0.72656,0.28194,0.72500,0.24861,0.74453,0.38056,0.74844,0.33333,0.74687,0.30278,0.74453,0.27500,0.71875,0.77578,0.70937,0.53889,109.89,0.9430,live,0.3508,0.0542,51.85,955.75
227471.626300,120.0,0.1866,0.71094,0.49861,0.67266,0.43889,0.65703,0.37778,0.65859,0.32222,0.66484,0.28194,0.68828,0.32500,0.68359,0.27222,0.67812,0.24028,0.67266,0.20972,0.70937,0.31528,0.70937,0.25972,0.70391,0.22222,0.69609,0.19167,0.72969,0.31806,0.73281,0.26389,0.72813,0.23056,0.71953,0.20417,0.74922,0.33194,0.75547,0.28472,0.75313,0.25417,0.74609,0.22778,0.71719,0.72034,0.71094,0.49861,117.03,0.9563,live,0.3508,0.0985,91.15,925.32
227471.690122,120.0,0.2940,0.70703,0.55556,0.67266,0.52083,0.65547,0.45694,0.65469,0.40278,0.65781,0.35972,0.69063,0.38472,0.68672,0.32639,0.68203,0.29444,0.67500,0.26806,0.71484,0.38056,0.71719,0.31528,0.71250,0.27917,0.70469,0.25694,0.73672,0.39306,0.74531,0.32778,0.74219,0.29444,0.73359,0.27361,0.75625,0.41667,0.76797,0.36667,0.76719,0.33889,0.76016,0.31944,0.71516,0.68739,0.70703,0.55556,114.11,0.9629,live,0.3508,0.1280,114.71,896.44
227471.757208,120.0,0.4462,0.71016,0.73333,0.67891,0.70000,0.65625,0.64861,0.64531,0.60417,0.64766,0.56250,0.69609,0.59306,0.69766,0.53889,0.69141,0.52500,0.68359,0.52778,0.72344,0.59861,0.73203,0.54167,0.72656,0.53333,0.71797,0.54028,0.74531,0.61806,0.76094,0.56528,0.76016,0.54167,0.75313,0.53194,0.76250,0.65278,0.78516,0.62500,0.79219,0.60833,0.79219,0.59583,0.71416,0.69658,0.71016,0.73333,96.24,0.9186,live,0.3508,0.1337,114.71,858.16
227471.828064,120.0,0.5699,0.71719,0.73056,0.68516,0.72083,0.66250,0.68472,0.65312,0.65556,0.65469,0.61944,0.69453,0.63611,0.69688,0.56667,0.69766,0.58750,0.70000,0.62778,0.72422,0.63889,0.73594,0.58472,0.74219,0.60000,0.74453,0.63750,0.74922,0.65417,0.77031,0.61250,0.78672,0.62778,0.79609,0.65972,0.76641,0.67639,0.79063,0.65417,0.81016,0.66389,0.82344,0.68889,0.71476,0.70337,0.71719,0.73056,77.77,0.9685,live,0.3508,0.1414,114.71,811.18
227471.894571,120.0,0.7234,0.72969,0.70417,0.68828,0.62361,0.66563,0.55417,0.65859,0.49444,0.65469,0.44167,0.69297,0.52361,0.68906,0.45833,0.68906,0.42361,0.69063,0.39167,0.71641,0.52639,0.71875,0.46806,0.72188,0.42778,0.72813,0.39722,0.73516,0.53611,0.74297,0.48611,0.74922,0.44722,0.75703,0.41389,0.75078,0.55556,0.76094,0.51667,0.76562,0.49028,0.77031,0.46667,0.71775,0.70353,0.72969,0.70417,113.80,0.8756,live,0.3136,0.1442,114.71,795.77
