timestamp,bpm,beat_phase,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
745.623704,120.0,0.7997,0.70937,0.80139,0.66875,0.73750,0.65469,0.65556,0.65859,0.58750,0.66094,0.54028,0.69609,0.58889,0.69609,0.51806,0.69609,0.47500,0.69766,0.43472,0.72500,0.58750,0.73125,0.50833,0.73438,0.45833,0.73750,0.41528,0.74922,0.60417,0.76016,0.53056,0.76719,0.48194,0.77187,0.43611,0.77187,0.63333,0.78594,0.57778,0.79453,0.54028,0.80156,0.50278,0.71157,0.80451,0.70937,0.80139,139.11,0.9569,live,0.0288,0.0050,4.18,834.35
745.695636,120.0,0.9449,0.70625,0.79861,0.66563,0.73472,0.65156,0.65278,0.65547,0.58611,0.65859,0.53889,0.69375,0.58750,0.69375,0.51528,0.69375,0.47222,0.69453,0.43194,0.72188,0.58611,0.72813,0.50694,0.73125,0.45694,0.73359,0.41250,0.74609,0.60139,0.75703,0.52778,0.76328,0.47917,0.76875,0.43472,0.76797,0.63056,0.78281,0.57639,0.79141,0.53889,0.79844,0.50000,0.71051,0.80333,0.70625,0.79861,137.89,0.9500,live,0.0288,0.0040,3.35,833.51
745.759551,120.0,0.0692,0.70312,0.79583,0.66328,0.73194,0.64922,0.65139,0.65391,0.58333,0.65625,0.53611,0.69063,0.58472,0.69063,0.51389,0.68984,0.47083,0.69063,0.43056,0.71875,0.58333,0.72500,0.50417,0.72734,0.45417,0.72969,0.40972,0.74297,0.59861,0.75313,0.52500,0.75938,0.47639,0.76484,0.43194,0.76484,0.62778,0.77969,0.57222,0.78828,0.53472,0.79453,0.49722,0.70903,0.80183,0.70312,0.79583,137.89,0.9487,live,0.0288,0.0061,5.07,832.77
745.822233,120.0,0.1929,0.70000,0.79167,0.66016,0.72917,0.64687,0.64722,0.65078,0.58056,0.65312,0.53333,0.68828,0.58194,0.68750,0.51111,0.68672,0.46806,0.68750,0.42639,0.71641,0.58056,0.72188,0.50139,0.72422,0.45139,0.72734,0.40556,0.73984,0.59583,0.75000,0.52222,0.75625,0.47500,0.76172,0.43056,0.76094,0.62361,0.77578,0.56806,0.78516,0.53056,0.79219,0.49306,0.70722,0.79980,0.70000,0.79167,136.72,0.9527,live,0.0288,0.0094,7.81,831.28
745.863591,120.0,0.2766,0.69922,0.79028,0.65938,0.72778,0.64609,0.64722,0.65078,0.58056,0.65234,0.53333,0.68750,0.58056,0.68672,0.50972,0.68516,0.46667,0.68594,0.42778,0.71484,0.57917,0.71953,0.50000,0.72266,0.45000,0.72500,0.40556,0.73828,0.59444,0.74844,0.52083,0.75469,0.47361,0.75938,0.42778,0.76016,0.62361,0.77422,0.56806,0.78281,0.53056,0.78906,0.49167,0.70562,0.79789,0.69922,0.79028,136.55,0.9525,live,0.0288,0.0124,10.27,829.84
745.930215,120.0,0.4104,0.69531,0.78472,0.65625,0.72361,0.64297,0.64444,0.64687,0.57917,0.65000,0.53194,0.68437,0.57917,0.68359,0.50833,0.68281,0.46528,0.68359,0.42500,0.71172,0.57778,0.71719,0.49861,0.72031,0.44861,0.72344,0.40417,0.73516,0.59167,0.74531,0.51944,0.75156,0.47222,0.75703,0.42778,0.75703,0.62083,0.77109,0.56528,0.77969,0.52778,0.78672,0.49167,0.70356,0.79526,0.69531,0.78472,134.71,0.9571,live,0.0288,0.0163,13.52,827.25
745.994315,120.0,0.5386,0.69297,0.78194,0.65391,0.72222,0.64062,0.64306,0.64531,0.57778,0.64766,0.53056,0.68203,0.57778,0.68047,0.50833,0.68047,0.46389,0.68203,0.42500,0.70859,0.57639,0.71406,0.49722,0.71719,0.44722,0.72031,0.40417,0.73203,0.59028,0.74219,0.51806,0.74844,0.47083,0.75391,0.42778,0.75313,0.61944,0.76797,0.56389,0.77578,0.52778,0.78359,0.49028,0.70144,0.79260,0.69297,0.78194,133.22,0.9525,live,0.0288,0.0204,16.80,823.90
746.062208,120.0,0.6769,0.69219,0.78194,0.65234,0.72083,0.63906,0.64167,0.64375,0.57778,0.64609,0.53056,0.67969,0.57778,0.67891,0.50694,0.67812,0.46389,0.67969,0.42361,0.70781,0.57500,0.71250,0.49722,0.71562,0.44722,0.71797,0.40278,0.73047,0.59028,0.74062,0.51806,0.74609,0.47083,0.75078,0.42778,0.75234,0.61806,0.76562,0.56389,0.77344,0.52639,0.77969,0.48889,0.69959,0.79047,0.69219,0.78194,134.13,0.9514,live,0.0288,0.0237,19.48,821.61
746.128651,120.0,0.8090,0.69141,0.78056,0.65156,0.71944,0.63828,0.64167,0.64219,0.57778,0.64531,0.53056,0.67891,0.57778,0.67734,0.50694,0.67656,0.46389,0.67812,0.42500,0.70625,0.57500,0.71094,0.49583,0.71328,0.44583,0.71562,0.40278,0.72891,0.58889,0.73828,0.51806,0.74453,0.47083,0.74922,0.42778,0.75078,0.61667,0.76406,0.56250,0.77187,0.52639,0.77812,0.48889,0.69795,0.78848,0.69141,0.78056,133.15,0.9511,live,0.0288,0.0266,21.80,818.89
746.194689,120.0,0.9426,0.69063,0.77917,0.65078,0.71944,0.63828,0.64028,0.64219,0.57639,0.64453,0.52917,0.67812,0.57639,0.67656,0.50694,0.67578,0.46389,0.67656,0.42500,0.70547,0.57361,0.71016,0.49444,0.71172,0.44583,0.71406,0.40278,0.72813,0.58750,0.73828,0.51667,0.74375,0.46944,0.74766,0.42500,0.75000,0.61528,0.76328,0.56111,0.77031,0.52500,0.77656,0.48750,0.69649,0.78662,0.69063,0.77917,133.15,0.9488,live,0.0288,0.0284,23.21,816.49
746.260164,120.0,0.0625,0.68984,0.77639,0.65156,0.71806,0.63906,0.64028,0.64297,0.57639,0.64453,0.52917,0.67891,0.57500,0.67734,0.50556,0.67578,0.46389,0.67734,0.42500,0.70547,0.57361,0.71016,0.49444,0.71250,0.44583,0.71484,0.40278,0.72891,0.58750,0.73828,0.51667,0.74375,0.46944,0.74766,0.42500,0.75000,0.61528,0.76328,0.56111,0.77031,0.52500,0.77656,0.48750,0.69516,0.78457,0.68984,0.77639,131.94,0.9500,live,0.0288,0.0293,23.84,813.51
746.328039,120.0,0.1982,0.69141,0.77778,0.65234,0.71806,0.63984,0.64028,0.64375,0.57639,0.64609,0.53056,0.67969,0.57778,0.67812,0.50972,0.67812,0.46667,0.67969,0.42778,0.70703,0.57639,0.71172,0.49861,0.71484,0.44861,0.71641,0.40694,0.73047,0.59028,0.73984,0.51944,0.74531,0.47222,0.75000,0.42917,0.75234,0.61667,0.76484,0.56389,0.77266,0.52639,0.77812,0.48889,0.69441,0.78322,0.69141,0.77778,132.02,0.9523,live,0.0288,0.0284,23.02,810.94
746.393723,120.0,0.3286,0.69141,0.78194,0.65156,0.71944,0.63984,0.64306,0.64453,0.57917,0.64766,0.53194,0.67969,0.58194,0.67969,0.51250,0.67891,0.46944,0.68047,0.43056,0.70703,0.58056,0.71328,0.50278,0.71562,0.45417,0.71719,0.41111,0.73047,0.59444,0.74062,0.52361,0.74609,0.47778,0.75078,0.43333,0.75234,0.62222,0.76641,0.56806,0.77422,0.53194,0.78047,0.49444,0.69381,0.78296,0.69141,0.78194,131.88,0.9491,live,0.0288,0.0260,21.02,808.58
746.462309,120.0,0.4665,0.69063,0.78611,0.65078,0.72222,0.63828,0.64583,0.64453,0.58194,0.64766,0.53611,0.67969,0.58472,0.67969,0.51389,0.67969,0.47222,0.68125,0.43194,0.70781,0.58472,0.71328,0.50694,0.71641,0.45694,0.71875,0.41528,0.73047,0.59861,0.74141,0.52917,0.74687,0.48194,0.75156,0.44028,0.75234,0.62639,0.76641,0.57361,0.77344,0.53611,0.78047,0.50000,0.69317,0.78359,0.69063,0.78611,132.39,0.9509,live,0.0288,0.0238,19.23,806.88
746.528918,120.0,0.5993,0.68906,0.78750,0.65000,0.72361,0.63828,0.64722,0.64375,0.58333,0.64687,0.53611,0.67969,0.58472,0.67969,0.51528,0.67969,0.47222,0.68125,0.43333,0.70703,0.58472,0.71328,0.50694,0.71641,0.45694,0.71875,0.41389,0.73047,0.60000,0.74062,0.52917,0.74609,0.48194,0.75078,0.43889,0.75156,0.62917,0.76562,0.57500,0.77344,0.53750,0.77969,0.50139,0.69235,0.78437,0.68906,0.78750,132.74,0.9505,live,0.0288,0.0209,16.86,805.62
746.593197,120.0,0.7278,0.68828,0.78611,0.65000,0.72222,0.63906,0.64444,0.64453,0.57917,0.64687,0.53194,0.68047,0.58194,0.68047,0.51111,0.67969,0.46944,0.68125,0.43056,0.70781,0.58194,0.71406,0.50417,0.71641,0.45417,0.71875,0.40972,0.73047,0.59722,0.74141,0.52639,0.74687,0.47917,0.75156,0.43472,0.75156,0.62778,0.76641,0.57361,0.77422,0.53611,0.78047,0.49861,0.69154,0.78472,0.68828,0.78611,133.27,0.9522,live,0.0288,0.0180,14.45,804.91
746.660303,120.0,0.8627,0.69141,0.78056,0.65391,0.71528,0.64297,0.63611,0.64766,0.57222,0.65000,0.52500,0.68437,0.57639,0.68516,0.50556,0.68516,0.46250,0.68672,0.42361,0.71172,0.57778,0.71953,0.49861,0.72188,0.44861,0.72422,0.40417,0.73438,0.59306,0.74609,0.51944,0.75234,0.47222,0.75703,0.42778,0.75547,0.62361,0.77187,0.56667,0.78047,0.52917,0.78750,0.49306,0.69151,0.78389,0.69141,0.78056,133.08,0.9476,live,0.0288,0.0145,11.67,804.14
746.722010,120.0,0.9963,0.69531,0.76667,0.65859,0.69861,0.64922,0.61944,0.65469,0.55556,0.66016,0.50833,0.69297,0.56528,0.69609,0.49444,0.69609,0.45139,0.69688,0.41111,0.72031,0.56806,0.72969,0.49028,0.73359,0.44028,0.73594,0.39722,0.74297,0.58472,0.75547,0.51389,0.76250,0.46528,0.76719,0.42222,0.76250,0.61389,0.77891,0.55972,0.78828,0.52222,0.79609,0.48611,0.69227,0.78044,0.69531,0.76667,131.71,0.9490,live,0.0288,0.0126,10.08,802.47
746.788789,120.0,0.1351,0.69219,0.75417,0.65781,0.68750,0.65000,0.60417,0.65703,0.54167,0.66172,0.49444,0.69531,0.55139,0.69922,0.48194,0.70078,0.43889,0.70391,0.39861,0.72188,0.55556,0.73281,0.47917,0.73906,0.42917,0.74375,0.38472,0.74453,0.57500,0.76016,0.50278,0.76875,0.45556,0.77500,0.41111,0.76328,0.60556,0.78125,0.55000,0.79141,0.51250,0.80078,0.47500,0.69225,0.77519,0.69219,0.75417,132.46,0.9429,live,0.0288,0.0130,10.41,801.54
746.857319,120.0,0.2506,0.66953,0.74583,0.63516,0.68194,0.62891,0.60000,0.63594,0.54028,0.63906,0.49722,0.67422,0.54861,0.67500,0.47917,0.67734,0.43472,0.68125,0.39444,0.70000,0.54861,0.71016,0.47222,0.71562,0.42083,0.72031,0.37917,0.72188,0.56528,0.73828,0.49444,0.74766,0.44722,0.75547,0.40417,0.74141,0.59306,0.75938,0.54028,0.76953,0.50417,0.77812,0.46944,0.68771,0.76932,0.66953,0.74583,131.14,0.9639,live,0.0288,0.0183,14.63,799.78
746.923991,120.0,0.3817,0.63281,0.77222,0.59531,0.71250,0.58594,0.63194,0.58984,0.57083,0.58906,0.52639,0.62734,0.56389,0.62422,0.49583,0.62109,0.45139,0.62031,0.41250,0.65234,0.56111,0.65703,0.48333,0.65703,0.43056,0.65781,0.38750,0.67422,0.57500,0.68281,0.49861,0.68594,0.44722,0.68906,0.40417,0.69375,0.60000,0.70547,0.54444,0.71172,0.50833,0.71641,0.47500,0.67673,0.76990,0.63281,0.77222,134.90,0.9508,live,0.0288,0.0315,25.20,800.93
746.994965,120.0,0.5257,0.61953,0.77917,0.57891,0.73194,0.56094,0.65139,0.55859,0.59028,0.55469,0.54444,0.59766,0.57500,0.59062,0.51111,0.58359,0.47222,0.57734,0.43750,0.62187,0.56806,0.62109,0.49167,0.61719,0.44306,0.61406,0.40000,0.64453,0.57778,0.64844,0.50417,0.64687,0.45417,0.64453,0.40833,0.66563,0.60000,0.67422,0.54306,0.67734,0.50417,0.67891,0.46667,0.66529,0.77175,0.61953,0.77917,133.09,0.9553,live,0.0288,0.0467,37.37,800.64
747.062327,120.0,0.6617,0.63516,0.75556,0.59766,0.70000,0.58359,0.62500,0.58437,0.56528,0.58281,0.51944,0.62109,0.56111,0.61484,0.49444,0.61016,0.45139,0.60703,0.41250,0.64531,0.55417,0.64531,0.47917,0.64297,0.43056,0.64062,0.38750,0.66719,0.56389,0.67188,0.49167,0.67266,0.44444,0.67266,0.40000,0.68750,0.58611,0.69844,0.53472,0.70469,0.50139,0.70781,0.47083,0.65926,0.76851,0.63516,0.75556,128.20,0.9561,live,0.0336,0.0551,43.93,796.87
747.125181,120.0,0.8056,0.67500,0.72778,0.63672,0.66250,0.62578,0.58472,0.63047,0.52222,0.63516,0.47639,0.66797,0.52917,0.66719,0.46389,0.66719,0.42083,0.66953,0.38333,0.69375,0.52639,0.69844,0.45278,0.70156,0.40556,0.70391,0.36667,0.71641,0.54028,0.72891,0.47500,0.73359,0.43611,0.73750,0.40139,0.73672,0.56528,0.75313,0.51528,0.76250,0.48472,0.76953,0.45417,0.66241,0.76037,0.67500,0.72778,130.80,0.9748,live,0.0336,0.0576,45.84,795.42
747.192822,120.0,0.9391,0.70781,0.71111,0.67422,0.64028,0.66563,0.56528,0.67344,0.50694,0.67969,0.46806,0.71172,0.51528,0.71641,0.44861,0.72031,0.40833,0.72500,0.37222,0.73750,0.52083,0.75000,0.44861,0.75703,0.40278,0.76250,0.36250,0.75938,0.53889,0.77578,0.47639,0.78516,0.43472,0.79219,0.39583,0.77812,0.57083,0.79688,0.52361,0.80859,0.49444,0.81797,0.46389,0.67149,0.75051,0.70781,0.71111,128.12,0.9454,live,0.0386,0.0617,48.90,792.22
747.261487,120.0,0.0479,0.71094,0.70000,0.67969,0.63056,0.67422,0.55972,0.68437,0.50417,0.69375,0.46667,0.72266,0.51111,0.72969,0.44583,0.73359,0.40556,0.73828,0.36944,0.74766,0.52083,0.76172,0.45139,0.76953,0.40556,0.77578,0.36806,0.76719,0.54306,0.78672,0.48056,0.79766,0.43889,0.80703,0.40000,0.78516,0.57639,0.80625,0.53194,0.81797,0.50000,0.82969,0.46806,0.67938,0.74041,0.71094,0.70000,124.27,0.9492,live,0.0434,0.0650,51.14,786.63
