timestamp,bpm,beat_phase,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
808.022075,120.0,0.6027,0.70469,0.69028,0.66250,0.64167,0.64453,0.57083,0.64531,0.50556,0.64922,0.46250,0.67969,0.50833,0.67812,0.43889,0.67891,0.39861,0.68203,0.36250,0.70625,0.50417,0.70859,0.42917,0.71016,0.38333,0.71250,0.34306,0.72891,0.51389,0.73594,0.44306,0.73906,0.40000,0.74297,0.36111,0.75156,0.53611,0.76328,0.48472,0.77031,0.45000,0.77734,0.41528,0.69836,0.68937,0.70469,0.69028,122.30,0.9059,live,0.0593,0.0389,28.89,742.98
808.088062,120.0,0.7324,0.70391,0.69167,0.66328,0.64306,0.64375,0.57222,0.64453,0.50694,0.64844,0.46111,0.67891,0.50694,0.67656,0.43889,0.67734,0.40000,0.68047,0.36250,0.70469,0.50278,0.70625,0.42778,0.70859,0.38056,0.71094,0.34028,0.72734,0.51389,0.73438,0.44306,0.73750,0.39861,0.74141,0.35833,0.75078,0.53611,0.76250,0.48333,0.76953,0.44861,0.77578,0.41250,0.69947,0.68983,0.70391,0.69167,123.56,0.9057,live,0.0593,0.0408,30.33,742.78
808.155896,120.0,0.8675,0.70312,0.69167,0.66250,0.64167,0.64453,0.57083,0.64531,0.50556,0.64844,0.46111,0.67969,0.50694,0.67734,0.43889,0.67812,0.39861,0.68047,0.36250,0.70547,0.50278,0.70703,0.42639,0.70859,0.38056,0.71094,0.34028,0.72813,0.51250,0.73438,0.44167,0.73828,0.39722,0.74141,0.35833,0.75078,0.53472,0.76250,0.48194,0.76953,0.44722,0.77578,0.41111,0.70020,0.69020,0.70312,0.69167,123.49,0.9037,live,0.0593,0.0421,31.27,742.56
808.223976,120.0,0.0055,0.70312,0.69028,0.66172,0.64028,0.64297,0.56944,0.64453,0.50417,0.64766,0.45833,0.67812,0.50556,0.67578,0.43750,0.67734,0.39722,0.68047,0.36111,0.70469,0.50139,0.70625,0.42500,0.70859,0.37917,0.71094,0.33889,0.72734,0.51111,0.73438,0.44028,0.73750,0.39583,0.74062,0.35556,0.75000,0.53333,0.76250,0.48056,0.76953,0.44583,0.77578,0.40972,0.70079,0.69022,0.70312,0.69028,123.73,0.8941,live,0.0593,0.0431,32.02,742.54
808.288267,120.0,0.1270,0.69922,0.68889,0.65781,0.64028,0.63984,0.56667,0.64141,0.50278,0.64453,0.45833,0.67578,0.50556,0.67344,0.43611,0.67500,0.39444,0.67734,0.35833,0.70156,0.50139,0.70391,0.42500,0.70625,0.37778,0.70781,0.33611,0.72500,0.51111,0.73203,0.43889,0.73516,0.39306,0.73828,0.35278,0.74687,0.53333,0.75938,0.48056,0.76641,0.44444,0.77266,0.40972,0.70047,0.68995,0.69922,0.68889,122.78,0.9000,live,0.0593,0.0375,27.82,741.83
808.359185,120.0,0.2684,0.68906,0.68889,0.64766,0.64028,0.62969,0.56806,0.63047,0.50278,0.63594,0.45694,0.66641,0.50417,0.66328,0.43750,0.66328,0.39583,0.66641,0.35833,0.69219,0.50000,0.69375,0.42639,0.69531,0.37917,0.69766,0.33750,0.71484,0.50972,0.72109,0.43889,0.72500,0.39306,0.72813,0.35278,0.73828,0.53194,0.74922,0.47917,0.75625,0.44444,0.76328,0.40972,0.69819,0.68974,0.68906,0.68889,123.93,0.9150,live,0.0520,0.0187,13.87,742.04
808.423500,120.0,0.3975,0.66719,0.69444,0.62734,0.64861,0.60938,0.57917,0.61016,0.51528,0.61172,0.46667,0.64297,0.51111,0.63906,0.44167,0.63828,0.40000,0.63906,0.36389,0.66797,0.50278,0.66875,0.42778,0.66875,0.38056,0.66953,0.33889,0.69063,0.50972,0.69609,0.43750,0.69922,0.39167,0.70156,0.35139,0.71406,0.53056,0.72578,0.47917,0.73203,0.44444,0.73672,0.41111,0.69199,0.69068,0.66719,0.69444,124.51,0.9214,live,0.0460,0.0187,13.92,742.64
808.492347,120.0,0.5361,0.64141,0.71111,0.60078,0.66944,0.58203,0.59722,0.58203,0.53611,0.58047,0.49167,0.61484,0.52500,0.60703,0.45972,0.60313,0.41806,0.60078,0.38194,0.63984,0.51528,0.63750,0.44167,0.63516,0.39444,0.63281,0.35139,0.66328,0.52222,0.66641,0.44861,0.66563,0.40139,0.66484,0.35972,0.68750,0.54167,0.69609,0.48333,0.69922,0.44583,0.70156,0.40972,0.68187,0.69477,0.64141,0.71111,127.14,0.9520,live,0.0460,0.0329,24.54,745.06
808.555368,120.0,0.6611,0.62813,0.73611,0.58516,0.69583,0.56328,0.62500,0.55781,0.56389,0.55547,0.51944,0.59453,0.54722,0.58437,0.48194,0.57734,0.44028,0.57109,0.40278,0.61953,0.53472,0.61406,0.46111,0.60938,0.41111,0.60391,0.36806,0.64297,0.54028,0.64219,0.46806,0.63984,0.41944,0.63672,0.37500,0.66563,0.55972,0.67188,0.50139,0.67422,0.46111,0.67656,0.42083,0.67112,0.70303,0.62813,0.73611,128.82,0.9600,live,0.0460,0.0525,39.26,748.40
808.623624,120.0,0.7996,0.62891,0.74306,0.58437,0.70417,0.56172,0.63472,0.55859,0.57083,0.55625,0.52083,0.59219,0.55417,0.58203,0.48750,0.57500,0.44722,0.56953,0.40833,0.61797,0.54167,0.61250,0.46389,0.60781,0.41528,0.60313,0.37222,0.64219,0.54722,0.64062,0.47083,0.63906,0.42222,0.63594,0.37639,0.66641,0.56667,0.67188,0.50694,0.67422,0.46667,0.67578,0.42778,0.66268,0.71104,0.62891,0.74306,130.19,0.9550,live,0.0460,0.0680,51.13,752.33
808.689556,120.0,0.9315,0.64531,0.73194,0.60234,0.68611,0.58125,0.61806,0.57656,0.55556,0.57656,0.50556,0.61250,0.54028,0.60391,0.47361,0.59922,0.43056,0.59688,0.39167,0.63828,0.52917,0.63516,0.45139,0.63203,0.40278,0.62969,0.35833,0.66250,0.53611,0.66328,0.45972,0.66250,0.41111,0.66016,0.36806,0.68672,0.55833,0.69531,0.49722,0.69844,0.45694,0.69922,0.41806,0.65921,0.71522,0.64531,0.73194,130.55,0.9182,live,0.0511,0.0745,56.30,756.05
808.758389,120.0,0.0669,0.67578,0.70972,0.63125,0.66389,0.60938,0.59306,0.60781,0.52778,0.61094,0.47917,0.64297,0.51806,0.63750,0.45000,0.63594,0.40833,0.63594,0.36944,0.66953,0.50833,0.66953,0.42917,0.66953,0.38056,0.67109,0.33750,0.69453,0.51528,0.69766,0.43889,0.70000,0.39167,0.70312,0.35000,0.71953,0.53750,0.73047,0.48194,0.73672,0.44722,0.74219,0.41389,0.66252,0.71412,0.67578,0.70972,131.13,0.9030,live,0.0511,0.0741,56.30,759.73
808.823226,120.0,0.1951,0.71484,0.70278,0.67031,0.65000,0.64766,0.57639,0.64609,0.51111,0.65156,0.46250,0.68281,0.50556,0.67891,0.43611,0.67969,0.39444,0.68281,0.35556,0.70937,0.50000,0.71172,0.42083,0.71328,0.37361,0.71641,0.33056,0.73359,0.50833,0.74219,0.43194,0.74531,0.38750,0.74844,0.34722,0.75781,0.53194,0.77031,0.47778,0.77734,0.44167,0.78359,0.40694,0.67299,0.71185,0.71484,0.70278,131.64,0.8688,live,0.0511,0.0737,56.30,763.35
808.892234,120.0,0.3510,0.74922,0.70139,0.70859,0.64306,0.68672,0.57083,0.68516,0.50833,0.69141,0.46806,0.72344,0.50417,0.72422,0.43333,0.72656,0.39028,0.73047,0.35139,0.75000,0.50139,0.75703,0.42500,0.76172,0.37778,0.76641,0.33472,0.77187,0.51528,0.78203,0.44167,0.78906,0.40000,0.79453,0.36111,0.79531,0.54167,0.80937,0.48889,0.81953,0.45694,0.82812,0.42361,0.68823,0.70976,0.74922,0.70139,128.73,0.8641,live,0.0511,0.0695,53.17,764.43
