timestamp,bpm,beat_phase,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
131366.824680,120.0,0.9320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.32288,0.74164,0.9994,0.26747,1.00000,0.5072,0.25904,1.00000,0.0505,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.892029,120.0,0.0571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.32260,0.74003,0.9995,0.26023,1.00000,0.5087,0.24780,1.00000,0.0495,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131366.957788,120.0,0.1882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.32266,0.72804,0.9995,0.25587,1.00000,0.5082,0.24039,1.00000,0.0491,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131367.025028,120.0,0.3230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.32274,0.72644,0.9995,0.25597,1.00000,0.5016,0.23542,1.00000,0.0485,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131367.092644,120.0,0.4780,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.32270,0.72784,0.9995,0.25730,1.00000,0.5030,0.23606,1.00000,0.0469,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131367.158298,120.0,0.6080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31878,0.73546,0.9995,0.24761,1.00000,0.4918,0.22492,1.00000,0.0469,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131367.225107,120.0,0.7223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31997,0.72903,0.9996,0.24826,1.00000,0.4928,0.22756,1.00000,0.0482,-1,-1,-1,-1,-1,0.0000,lost,0.3750,0.0000,0.00,6.00
131367.292584,120.0,0.8787,0.71328,0.99861,0.66875,0.98472,0.63125,0.93611,0.60391,0.93056,0.60859,0.92917,0.67891,0.86667,0.66406,0.79861,0.64297,0.84444,0.63203,0.90417,0.72109,0.88750,0.72813,0.78611,0.70078,0.84444,0.68281,0.90417,0.75938,0.92778,0.77734,0.85417,0.75078,0.90972,0.72734,0.96250,0.79141,0.98056,0.81484,0.95694,0.80703,0.99861,0.79609,0.99861,0.32032,0.73089,0.9996,0.24036,1.00000,0.4860,0.24903,1.00000,0.0459,0.71328,0.99861,0.71328,0.99861,112.97,0.9857,live,0.3750,0.0000,0.00,677.80
131367.358255,120.0,0.0088,0.69531,0.99861,0.64453,0.98472,0.61094,0.89444,0.60234,0.81528,0.63125,0.77500,0.66953,0.77500,0.67969,0.66806,0.66328,0.67917,0.64922,0.72917,0.71328,0.79028,0.72891,0.66944,0.71094,0.69306,0.69453,0.75417,0.75391,0.82500,0.77422,0.71944,0.75781,0.74306,0.73828,0.79861,0.79375,0.87778,0.82500,0.79722,0.81563,0.80139,0.79609,0.83611,0.31974,0.71958,0.9996,0.23467,1.00000,0.4763,0.23523,1.00000,0.0431,0.70969,0.99861,0.69531,0.99861,161.15,0.9851,live,0.3750,0.0065,4.60,712.49
131367.424795,120.0,0.1339,0.70312,0.98472,0.65234,0.92222,0.62344,0.82361,0.61641,0.74722,0.64219,0.70000,0.68359,0.70833,0.69297,0.61111,0.67969,0.60833,0.66563,0.65417,0.72422,0.71944,0.74141,0.60139,0.72500,0.60556,0.70703,0.65972,0.76172,0.75417,0.78281,0.65139,0.76484,0.65972,0.74453,0.71528,0.79688,0.80833,0.82969,0.72639,0.82031,0.71528,0.80000,0.74861,0.35135,0.69664,0.9992,0.23275,0.98479,0.5108,0.21768,0.92960,0.1271,0.70838,0.99583,0.70312,0.98472,182.52,0.9929,live,0.3750,0.0087,6.59,758.41
